city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Sài Gòn,eat,10.7741114,106.7019031,Việt Nam,Gourmet café,eat,Lầu 7 - 42 Nguyễn Huệ Phường Bến Nghé Quận 1 TP. Hồ Chí Minh,09:00 - 21:00,1,1901760068
Sài Gòn,eat,10.768744,106.6988146,Việt Nam,Quán Chị Linh,eat,192 Nguyễn Công Trí Phường Nguyễn Thái Bình Quận 1 TP. Hồ Chí Minh,11:30 - 18:00,1,1930654114
Sài Gòn,eat,10.7695941,106.6904017,Việt Nam,Bánh Tráng Gánh,eat,Ngã Ba Lê Lai & Nguyễn Văn Tráng Phường Phạm Ngũ Lão TP. Hồ Chí Minh,14:00 - 22:00,1,1934000006
Sài Gòn,eat,10.778952,106.7005211,Việt Nam,Quán Cô Cúc,eat,76 Hai Bà Trưng Phường Bến Nghé Quận 1 TP. Hồ Chí Minh,14:00 - 20:00,1,1887750814
Sài Gòn,eat,10.7823752,106.7025604,Việt Nam,Osaka Sushi,eat, 8 Lý Tự Trọng Phường Bến Nghé Quận 1 TP. Hồ Chí Minh,09:00 - 22:00,1,1710176249
Sài Gòn,eat,10.7796114,106.7609691,Việt Nam,Ốc Mẹt,eat,441 Nguyễn Thị Định Cát Lái Quận 2 TP. Hồ Chí Minh,15:00 - 19:00,2,1710495933
Sài Gòn,eat,10.799993,106.7349627,Việt Nam,BBQ Ông Mập,eat,45 Song Hành An Phú Quận 2 TP. Hồ Chí Minh,17:00 - 01:00,2,1710680650
Sài Gòn,eat,10.7982022,106.7365292,Việt Nam,Ốc Bay,eat,1 Thảo Điền Phường Thảo Điền Quận 2 TP. Hồ Chí Minh,16:00 - 00:00,2,1894157390
Sài Gòn,eat,10.802441,106.7359767,Việt Nam,Nomu Restaurant,eat,10 Thảo Điền Phường Thảo Điền Quận 2 TP. Hồ Chí Minh,17:30 - 23:00,2,1716196799
Sài Gòn,eat,10.788424,106.7665232,Việt Nam,Hoa Ban Quán,eat,537/13 Nguyễn Duy Trinh Phường Bình Trưng Đông Quận 2 TP. Hồ Chí Minh,13:00 - 23:00,2,1398516045
Sài Gòn,eat,10.7874442,106.6804913,Việt Nam,Ba Con Bò Quán,eat,220/118 Lê Văn Sỹ Phường 14 Quận 3 TP. Hồ Chí Minh,06:00 - 23:00,3,1418732714
Sài Gòn,eat,10.7667261,106.6761591,Việt Nam,Lẩu Bò Nhà Gỗ,eat,162 Lý Thái Tổ Phường 1 Quận 3 TP. Hồ Chí Minh,11:00 - 23:00,3,1422847713
Sài Gòn,eat,10.7864204,106.688227,Việt Nam,Rau Má Chip,eat,166 Võ Thị Sáu Phường 8 Quận 3 TP. Hồ Chí Minh,08:00 - 22:00,3,1662922505
Hà Nội,eat,10.7876364,106.6708906,Việt Nam,Quán Hủ Tíếu Bò Viên,eat,1046 Trường Sa Phường 12 Quận 3 TP. Hồ Chí Minh,16:00 - 22:00,3,1438317747
Sài Gòn,eat,10.7867641,106.6713214,Việt Nam,Sinh Tố Nước Ép 971,eat, 971 Hoàng Sa Phường 11 Quận 3 TP. Hồ Chí Minh,08:00 - 20:00,3,1144251314
Sài Gòn,hotel,10.7784697,106.7027093,Việt Nam,DYN Opera Hotel,hotel,18 Cao Bá Quát Quận 1 TP. Hồ Chí Minh Việt Nam,,1,1144239330
Sài Gòn,hotel,10.768744,106.6988146,Việt Nam,Monrovia Hotel,hotel,192 Nguyễn Công Trí Phường Nguyễn Thái Bình Quận 1 TP. Hồ Chí Minh,,1,1430477826
Sài Gòn,hotel,10.7695941,106.6904017,Việt Nam,Maseru Hotel,hotel,Ngã Ba Lê Lai & Nguyễn Văn Tráng Phường Phạm Ngũ Lão TP. Hồ Chí Minh,,1,1426977668
Sài Gòn,hotel,10.778952,106.7005211,Việt Nam,Vilnius Hotel,hotel,76 Hai Bà Trưng Phường Bến Nghé Quận 1 TP. Hồ Chí Minh,,1,1440887149
Sài Gòn,hotel,10.7823752,106.7025604,Việt Nam,Luxembourg Hotel,hotel, 8 Lý Tự Trọng Phường Bến Nghé Quận 1 TP. Hồ Chí Minh,,1,1442262731
Sài Gòn,hotel,10.7796114,106.7609691,Việt Nam,Riga Hotel,hotel,441 Nguyễn Thị Định Cát Lái Quận 2 TP. Hồ Chí Minh,,2,1428586192
Sài Gòn,hotel,10.799993,106.7349627,Việt Nam,Tripoli Hotel,hotel,45 Song Hành An Phú Quận 2 TP. Hồ Chí Minh,,2,1434201852
Sài Gòn,hotel,10.7982022,106.7365292,Việt Nam,Rabat Hotel,hotel,1 Thảo Điền Phường Thảo Điền Quận 2 TP. Hồ Chí Minh,,2,1504023252
Sài Gòn,hotel,10.802441,106.7359767,Việt Nam,Monaco Hotel,hotel,10 Thảo Điền Phường Thảo Điền Quận 2 TP. Hồ Chí Minh,,2,1492854256
